point,eta_s,delta_pi,round,mean_cooperation,std,n,ci95
colapso,0.1,0.4,89,0.05583837696929259,0.0015269012717548842,11,0.0009023409887492522
colapso,0.1,0.4,90,0.055520142439432305,0.0021689310480985558,11,0.001281756340552961
colapso,0.1,0.4,91,0.055954873888350125,0.001636835002461548,11,0.0009673076719904916
colapso,0.1,0.4,92,0.05681741282590736,0.0017753867442399831,11,0.0010491865190266174
colapso,0.1,0.4,93,0.0568385548786539,0.0022699170792448574,11,0.001341435271260568
colapso,0.1,0.4,94,0.056310014604738674,0.002556090545058003,11,0.0015105529823217765
colapso,0.1,0.4,95,0.05614761756221516,0.002330021232928628,11,0.0013769545562766965
colapso,0.1,0.4,96,0.05622986978414258,0.0019799388484983732,11,0.0011700690878092873
colapso,0.1,0.4,97,0.056273861136546206,0.002125443304202661,11,0.0012560567262089402
colapso,0.1,0.4,98,0.05604651486039573,0.0025527877529010123,11,0.0015086011568857106
colapso,0.1,0.4,99,0.05515288533692238,0.0031874775493322357,11,0.0018836788577527707
colapso,0.1,0.4,100,0.05637279636771997,0.0026190960904096698,11,0.0015477868802436557
colapso,0.1,0.4,101,0.05609956785069154,0.002566943192776435,11,0.0015169664872771702
colapso,0.1,0.4,102,0.05539109986417404,0.0027318820497363424,11,0.0016144391228859684
colapso,0.1,0.4,103,0.0549628322149348,0.00272502413383643,11,0.0016103863535757604
colapso,0.1,0.4,104,0.05554554294483347,0.0023619821959136506,11,0.0013958422784069804
colapso,0.1,0.4,105,0.05638954600149731,0.0030442344749291514,11,0.0017990276103019066
colapso,0.1,0.4,106,0.05630364058711046,0.0021610840967059364,11,0.00127711908861712
colapso,0.1,0.4,107,0.056323165888539535,0.0023357848515062514,11,0.0013803606371951627
colapso,0.1,0.4,108,0.05564045741059727,0.0023556633101160076,11,0.0013921080555309422
colapso,0.1,0.4,109,0.05501614930447296,0.002662204381591544,11,0.001573262252363581
colapso,0.1,0.4,110,0.05502337293924025,0.001937130108117967,11,0.001144770738900605
colapso,0.1,0.4,111,0.05494936619652604,0.0022382897507793793,11,0.0013227447145317515
colapso,0.1,0.4,112,0.05553819266036799,0.002948473600557221,11,0.0017424365499218535
colapso,0.1,0.4,113,0.055536497855656446,0.0019519457555757169,11,0.0011535262270407267
colapso,0.1,0.4,114,0.055611269919224646,0.0018845000045417967,11,0.0011136683352433497
colapso,0.1,0.4,115,0.055919633905241524,0.0024420601322569847,11,0.0014431653146724471
colapso,0.1,0.4,116,0.05570231887719783,0.0018997255688336357,11,0.0011226660687520611
colapso,0.1,0.4,117,0.05601247489531018,0.0025244971065292725,11,0.0014918824532657367
colapso,0.1,0.4,118,0.05622756842815564,0.002493386577773496,11,0.0014734973056486052
colapso,0.1,0.4,119,0.05689811826299384,0.00215649910060521,11,0.001274409529072261
colapso,0.1,0.4,120,0.05653713808261848,0.0026433305026600626,11,0.0015621085026800844
colapso,0.1,0.4,121,0.05577066811594769,0.003933029796927012,11,0.002324272080578309
colapso,0.1,0.4,122,0.05601002971891018,0.002840602451644121,11,0.001678688774627977
colapso,0.1,0.4,123,0.056255417815995926,0.002052154172889183,11,0.0012127456173394245
colapso,0.1,0.4,124,0.055671154516633806,0.0018270687646593103,11,0.001079728641342186
colapso,0.1,0.4,125,0.05543269992281585,0.00263022347407142,11,0.0015543627437662499
colapso,0.1,0.4,126,0.05564573544095424,0.0028225162977576594,11,0.0016680005406979443
colapso,0.1,0.4,127,0.05563721416597802,0.002644070993845415,11,0.0015625461050062539
colapso,0.1,0.4,128,0.05560442182159329,0.0035035377798513802,11,0.0020704585180926854
colapso,0.1,0.4,129,0.05542463932775741,0.0023778172679874763,11,0.0014052002079970117
colapso,0.1,0.4,130,0.05450325045320636,0.0015099412512959097,11,0.0008923182571468548
colapso,0.1,0.4,131,0.05475993251303884,0.0018285005107405445,11,0.0010805747492068378
colapso,0.1,0.4,132,0.053804100618522165,0.0018205978504121896,11,0.0010759045753938044
colapso,0.1,0.4,133,0.05426043141506917,0.0025331056607161527,11,0.00149696978369134
colapso,0.1,0.4,134,0.05440634194819532,0.0019127555028085712,11,0.0011303662676606441
colapso,0.1,0.4,135,0.054040238021436225,0.0019800882934315174,11,0.0011701574041210433
colapso,0.1,0.4,136,0.05428831062316315,0.0015058655670143728,11,0.0008899096816531656
colapso,0.1,0.4,137,0.05453331406319963,0.001914021162701642,11,0.0011311142248602744
colapso,0.1,0.4,138,0.05470630437299485,0.002145134665204531,11,0.0012676935769241303
colapso,0.1,0.4,139,0.05560311151143222,0.0028530387169496845,11,0.0016860381377726372
colapso,0.1,0.4,140,0.05535625803380908,0.003061025023079861,11,0.0018089501901701781
colapso,0.1,0.4,141,0.05483797097152773,0.0026930435699199567,11,0.0015914870480352107
colapso,0.1,0.4,142,0.054830747477949845,0.002513332842889718,11,0.0014852847950690188
colapso,0.1,0.4,143,0.054417404681415066,0.0023635106239606827,11,0.0013967455216622603
colapso,0.1,0.4,144,0.054329592215686125,0.0024727064772580016,11,0.0014612761472202424
colapso,0.1,0.4,145,0.0548883761658083,0.0022714230183113145,11,0.0013423252243776164
colapso,0.1,0.4,146,0.05511268388900373,0.002255701945478081,11,0.001333034664033636
colapso,0.1,0.4,147,0.05504786912362169,0.0029177138832014557,11,0.0017242587185938667
colapso,0.1,0.4,148,0.05488933838291135,0.002236578159202774,11,0.0013217332285475963
colapso,0.1,0.4,149,0.0547940384628605,0.0033931237964674454,11,0.002005208023655743
colapso,0.1,0.4,150,0.055414228940437904,0.003406739957993955,11,0.0020132546609086407
colapso,0.1,0.4,151,0.05531749850297265,0.003227626143367818,11,0.001907405160631098
colapso,0.1,0.4,152,0.05556811424555235,0.0033680103403404657,11,0.0019903669194850154
colapso,0.1,0.4,153,0.05503393965484336,0.002861476282330206,11,0.001691024420271011
